"scenario","year","b0","b1","b2","mu","fp","N","tenperc","h","ofs","badfit"
"WC_Main base",1993,-176.066986864497,2.47490132117762,-0.00841589553703059,147.037312326886,19.7560863296768,6943.8653567294,137.159269162047,359.398717397736,52.8849522836034,FALSE
"WC_Main base",1994,-128.648514029204,1.91936889613441,-0.00687601866818222,139.569785129876,21.8565977604949,4258.4514389269,128.641486249628,199.225665559108,55.4972435404981,FALSE
"WC_Main base",1995,-245.457728818735,3.42602208200977,-0.0116607861596356,146.903563580863,16.7836791166933,8005.02172629899,138.511724022517,487.698583492449,46.0787611744401,FALSE
"WC_Main base",1996,-115.875587823015,1.6179044451752,-0.0054018771143286,149.753910625223,24.659185814444,4679.93896609368,137.424317718001,194.060704215196,62.4579287499662,FALSE
"WC_Main base",1997,-254.544072778636,3.65831901448174,-0.0128068285464182,142.8268911863,16.0151232634038,12840.3322416274,134.819329554598,819.826821320182,45.776344411482,FALSE
"WC_Main base",1998,-299.822249547006,3.94739681030317,-0.0127460255023316,154.848144999438,16.053276713776,5192.23808070767,146.82150664255,330.72502140349,42.6682459917049,FALSE
"WC_Main base",1999,-360.217357164859,4.6459141719881,-0.0147059296934596,157.960573347986,14.9453070032961,12093.1346645383,150.487919846338,827.389862344467,42.7476922165804,FALSE
"WC_Main base",2000,-195.269328443062,2.68044737497545,-0.00890871942545311,150.43954394372,19.2018663546497,10786.3768451547,140.838610766395,574.39188230763,53.4099833680839,FALSE
"WC_Main base",2001,-197.181768913952,2.70135405204206,-0.00900452279971775,149.999845195946,19.0994443308836,4217.31938822425,140.450123030504,225.783347233714,49.0661854574354,FALSE
"WC_Main base",2002,-143.431988947826,2.00946795577992,-0.00675067044358441,148.83469520347,22.058583968202,9688.62777091539,137.805403219369,449.118337981762,60.1562403581341,FALSE
"WC_Main base",2003,-231.660410883593,3.12467162710493,-0.0102677353087797,152.159728174581,17.8860216077456,7524.51145189271,143.216717370708,430.170578393265,48.6047563728413,FALSE
"WC_Main base",2004,-191.706356689842,2.84105937833869,-0.0102107154798831,139.121464305615,17.9358926502799,6531.14457480871,130.153517980475,372.342361259008,48.1566125550866,FALSE
"WC_Main base",2005,-186.10095566023,2.63167012626587,-0.00909425930892749,144.688535749275,19.0049799901755,1349.80283120063,135.186045754188,72.6238159939192,43.4146781015432,FALSE
"WC_Main base",2006,-143.822414896742,2.04615430984669,-0.00704328255351684,145.255730854147,21.5955131280319,2529.07873132939,134.457974290131,119.74984738336,52.1316880509935,FALSE
"WC_Main base",2007,-210.853945415604,3.03682358575668,-0.0106665885293418,142.352148365101,17.5484318009035,3421.79258905042,133.577932464649,199.384556271611,44.56150606212,FALSE
"WC_Main base",2008,-277.575695502018,3.84890102760665,-0.0131582229625775,146.254590705488,15.7998317689356,751.25554578513,138.35467482102,48.6195992933753,34.3615289527907,FALSE
"WC_Main base",2009,-184.818269509503,2.53755293057636,-0.0084711772833678,149.775695024029,19.691518055325,3538.70190306856,139.929935996366,183.755746149288,49.6166310958146,FALSE
"WC_Main base",2010,-95.5536166350265,1.40310054311375,-0.00486546680882201,144.189714804925,25.982972053627,6890.35710918422,131.198228778112,271.162139329172,67.8683169625411,FALSE
"WC_Main base",2011,-219.145256269135,2.73350507898253,-0.00833674442277636,163.94319774962,19.8496493625229,2671.59720938551,154.018373068358,137.624035587166,48.6086938030613,FALSE
"WC_Main base",2012,-223.954064888666,3.09245707999668,-0.0103623620068119,149.215838916059,17.8041688034972,15136.6819280825,140.31375451431,869.330924206175,51.1118888527201,FALSE
"WC_Main base",2013,-153.145794824719,2.348010802003,-0.00860218739978193,136.477543029493,19.5409931991064,22693.007806417,126.70704642994,1187.46707275728,57.37586228972,FALSE
"WC_Main base",2014,-168.585057174461,2.56204018204497,-0.00936869920994372,136.734039840113,18.7245519908327,13115.505549595,127.371763844697,716.225446915438,52.9791555991011,FALSE
"WC_Main base",2015,-146.553664080984,2.17822754600106,-0.00778165350006229,139.95917101575,20.5454254502715,7173.54253187197,129.686458290615,357.021759180169,54.9669111717657,FALSE
"WC_Main base",2016,-193.565910099216,2.90489722082931,-0.0105959018643625,137.07644983951,17.6068684598268,4344.20441893754,128.273015609596,252.292465199952,45.6926897876768,FALSE
"WC_Main base",2017,-187.863560835353,2.56862461819737,-0.00851626881254125,150.80692464843,19.6393180172465,6469.68185724107,140.987265639807,336.846988755076,52.2820919747788,FALSE
"WC_Main base",2018,-302.945953456149,4.3633117467576,-0.0153946731784065,141.714984663586,14.6071620261764,7234.43097706256,134.411403650498,506.424464836589,40.2251131735594,FALSE
"WC_Main base",2019,-217.46823902951,3.17792021383937,-0.0113063164605294,140.537381247623,17.0447452548856,5730.82691272488,132.01500862018,343.797665941647,45.4545991973405,FALSE
"WC_North base",1993,-195.386226745373,2.63758239851635,-0.00874308477291051,150.838203392961,19.3828992638265,651.957545455222,141.146753761048,34.3935277948442,40.2317096335175,FALSE
"WC_North base",1994,-342.470644882413,4.95327946476589,-0.0177416428679276,139.594723601391,13.606742526002,344.977539450298,132.79135233839,25.9246439404947,27.0907805795931,FALSE
"WC_North base",1995,-353.306100884839,4.78133898233458,-0.0159961540484455,149.452767454413,14.3299044433488,754.563216519468,142.287815232739,53.8429049406956,31.5714626243852,FALSE
"WC_North base",1996,-155.295268309597,1.97744874606943,-0.00621050130066751,159.202023342052,22.9978774179528,185.819203877764,147.703084633075,8.26188198772909,36.8788935555256,FALSE
"WC_North base",1997,-174.57572340206,2.45511996328819,-0.00849111545651617,144.569931704562,19.6683854265634,346.981582328906,134.735738991281,18.0390582075423,36.9136727096074,FALSE
"WC_North base",1998,-264.115986772799,3.36888955004216,-0.010651103130398,158.147447677388,17.5611838024988,167.012055620724,149.366855776138,9.72456492093303,29.2274201771725,FALSE
"WC_North base",1999,-265.429691694039,3.39403027565522,-0.010730385727769,158.150431949145,17.4961871832018,328.221343254485,149.402338357544,19.1822501028735,33.1838291949671,FALSE
"WC_North base",2000,-237.64876287505,3.14041830930788,-0.0101919303615853,154.063960304542,17.9524141896334,1248.03107283235,145.087753209725,71.0851175245613,40.9076146948974,FALSE
"WC_North base",2001,-208.676835182485,2.88685992876216,-0.00982120366139897,146.970780175785,18.2881057691167,572.014047974393,137.826727291226,31.9826258033682,37.567417343624,FALSE
"WC_North base",2002,-125.364223368479,1.71221892453264,-0.0056548963687012,151.392599695501,24.1012050739133,1643.19112556262,139.341997158544,69.7148776705,54.7931826050676,FALSE
"WC_North base",2003,-154.866992400151,2.0824590744643,-0.00684549568284371,152.10433042003,21.9052711248407,715.496223461273,141.15169485761,33.3991073675522,45.2782977715173,FALSE
"WC_North base",2004,-136.519170503515,1.99223451317393,-0.00705707323587129,141.151611056504,21.574402216327,1253.39662169145,130.36440994834,59.4053960549981,48.1150590572233,FALSE
"WC_North base",2005,-125.690711564149,1.73644774916802,-0.00589661829866848,147.240982985123,23.6020418126861,197.646138943284,135.43996207878,8.56278237163145,38.1669546102095,FALSE
